ime,drz,zvrst,leto,status
Red Right Hand,United States,Thrash/Groove Metal,1998,Active
Reverend,United States,Thrash/Power Metal,1989,Split-up
Sabatan,Spain,Heavy Metal,1995,Active
Sacred Blade,Canada,Progressive Heavy Metal,1981,Changed name
Sacred Rite,United States,Heavy Metal,1980,Split-up
Sacrifice,Canada,Thrash Metal,1983,Active
Sacrosanct,Netherlands,Progressive Thrash Metal,1988,Split-up
Agiel,United States,"Brutal Death Metal/Grindcore (early), Symphonic Death/Black Metal (later)",1997,Active
Salem,Israel,Death/Gothic/Doom Metal,1985,Active
Saratoga,Spain,Power/Heavy Metal,1992,Active
Sathanas,United States,Blackened Death Metal,1988,Active
Savage Steel,Canada,Power/Thrash Metal,1981,Split-up
Seth,France,Black Metal,1995,Active
Scepter,United States,Thrash Metal,1993,Split-up
Mental Home,Russia,Melodic Doom/Death Metal,1993,Active
Seasons of the Wolf,United States,Progressive/Heavy Metal,1988,Active
Sedition,Australia,Heavy/Power/Thrash Metal,1999,Split-up
Sentinel Beast,United States,Power/Thrash Metal,1984,Active
Seventh Omen,United States,Power Metal,1988,Split-up
Seven Witches,United States,Heavy/Power Metal,1998,Active
Shadowbreed,Netherlands,Death Metal,1998,Split-up
Silencer,United States,"Power Metal (early), Death/Thrash Metal (later)",1998,Active
Sinergy,Finland,Power Metal,1997,Split-up
Skullview,United States,Heavy Metal,1995,Active
Somnus,United States,Black/Gothic Metal,1995,Split-up
Soulless,United States,Melodic Death/Thrash Metal,1997,Active
StÃ­ny PlamenÅ¯,Czech Republic,Black Metal,1998,Active
Sabaton,Sweden,Power Metal,1999,Active
Stone Vengeance,United States,Thrash Metal,1978,Active
Suidakra,Germany,Melodic Death/Black/Folk Metal,1994,Active
Steel Attack,Sweden,Power Metal,1997,On hold
Tension,United States,Power/Speed/Thrash Metal,1985,On hold
The Awful Truth,United States,Melodic Heavy Metal/Rock,1988,Split-up
Galactic Cowboys,United States,Progressive Metal,1989,Active
Goddess of Desire,Netherlands,Heavy Metal,1995,Split-up
Trollech,Czech Republic,Pagan Black Metal,1999,Active
Tyrant,United States,Heavy Metal,1978,Active
Twisted Tower Dire,United States,Power Metal,1995,Active
Ultimatum,United States,Thrash Metal,1992,Active
Agressor,France,Death/Thrash Metal,1986,Active
Urgrund,Australia,Black/Thrash Metal,1998,Active
Usurper,United States,Black/Thrash Metal,1993,Active
Urn,Finland,Black/Thrash Metal,1994,Active
Vengeance Rising,United States,Thrash Metal,1985,Split-up
Black Abyss,Germany,Power/Thrash Metal,1990,Active
Anathema,United Kingdom,"Doom/Death Metal (early), Progressive/Alternative Rock (later)",1990,Active
Benediction,United Kingdom,Death Metal,1989,Active
Berserk,Austria,Death Metal,1997,Split-up
Bound for Glory,United States,"Oi!/RAC (early), Thrash Metal/Crossover (later)",1989,Active
Superjoint Ritual,United States,Sludge Metal/Crossover,1993,Changed name
Brutality,United States,Death Metal,1987,Active
Blood Feast,United States,Thrash Metal,1986,Active
Abattoir,United States,Power/Speed Metal,1982,On hold
Satanic Slaughter,Sweden,Black/Death/Thrash Metal,1985,Split-up
The Abyss,Sweden,Black Metal,1994,Split-up
Black Steel,Australia,Heavy/Power Metal,1999,Active
Wolverine,Sweden,Progressive Metal,1995,Active
Acid,Belgium,Speed Metal,1980,Split-up
Acid Death,Greece,Death/Thrash/Progressive Metal,1989,Active
Feanor,Argentina,Heavy Metal,1996,Active
Acid King,United States,Doom/Stoner Metal,1993,Active
Betray My Secrets,Germany,Atmospheric Folk Gothic/Doom Metal,1997,Split-up
Acid Reign,United Kingdom,Thrash Metal,1985,Active
Heavens Gate,Germany,Heavy/Power Metal,1987,Split-up
Acrimony,United Kingdom,"Doom/Death Metal (1991-93), Stoner/Doom Metal",1991,Split-up
ADX,France,Heavy/Speed Metal,1982,Active
Afflicted,Sweden,"Progressive/Technical Death Metal (early), Power Metal (later)",1990,Split-up
After Forever,Netherlands,Symphonic Power/Gothic Metal,1995,Split-up
Aftermath,United States,Technical Progressive Thrash Metal,1985,Active
Nokturnal Mortum,Ukraine,Folk Symphonic Black Metal,1994,Active
Agent Steel,United States,Power/Speed/Thrash Metal,1984,On hold
Aghora,United States,Progressive Metal/Jazz Fusion,1995,Active
Alastis,Switzerland,Black Metal,1989,Split-up
Alcatrazz,United States,Heavy Metal/Shred,1983,Split-up
Tankard,Germany,Thrash Metal,1983,Active
Amsvartner,Sweden,"Black Metal (early), Melodic Death Metal (later)",1994,Split-up
Angel Witch,United Kingdom,"NWOBHM, Heavy Metal",1978,Active
Angra,Brazil,Power/Progressive Metal,1991,Active
Annon Vin,Germany,Progressive Metal,N/A,Split-up
Anthem,Japan,Heavy Metal,1981,Active
Antithesis,United States,Power/Thrash/Progressive Metal,1997,On hold
Anvil,Canada,Heavy/Power Metal,1981,Active
Anvil Bitch,United States,Thrash Metal,1983,Active
W.A.S.P.,United States,Heavy Metal/Hard Rock,1982,Active
Abstrakt Algebra,Sweden,Technical Power/Doom Metal,1994,Split-up
Afterworld,Finland,Power Metal,1993,Active
Pain of Salvation,Sweden,Progressive Rock/Metal,1984,Active
Jag Panzer,United States,Heavy/Power Metal,1981,Active
Control Denied,United States,Progressive Power Metal,1995,Split-up
Tren Loco,Argentina,Heavy/Speed Metal,1990,Active
Crystal Abyss,Russia,Symphonic Black Metal,1999,Active
Martyr,Canada,Technical Death Metal,1994,Split-up
ÐÐ°ÑÐ´Ð°ÑÐ¸ÐºÐ°,Russia,Thrash/Progressive Metal,1995,Active
Memento Mori,Sweden,Power/Doom Metal,1992,Changed name
KrÃ¼ger,Russia,"Death/Thrash Metal (early), Power/Speed Metal (later)",1989,Active
Overlorde,United States,Heavy Metal,1985,Active
Catamenia,Finland,"Melodic Black Metal (early), Melodic Death/Gothic Metal (later)",1995,Active
Catastrophic,United States,Death Metal,1999,Split-up
Cauldron Born,United States,Power Metal,1994,Active
Cemetary,Sweden,"Death Metal (early), Doom/Death Metal (mid), Gothic Metal (later)",1989,Split-up
Cirith Ungol,United States,Heavy/Doom Metal,1972,Active
Jacobs Dream,United States,Power Metal,1994,Active
Crematory,Germany,"Gothic Death Metal (early), Industrial/Gothic Metal (later)",1991,Active
Cronos,United Kingdom,Power/Thrash Metal,1987,Split-up
Custard,Germany,Power Metal,1987,Active
Dark Half,Mexico,Death Metal,1990,Split-up
Darkmoon,United States,Black Metal,1997,Split-up
Dark Moor,Spain,Power Metal,1993,Active
Dawnbringer,United States,Heavy Metal with Black Metal influences,1995,Active
Deathwish,United Kingdom,Thrash Metal,1983,Split-up
December Moon,United Kingdom,Black Metal,1992,Split-up
Delusive Dream,United States,Power/Speed Metal,1994,Split-up
Dementia,United States,Thrash Metal,1988,Split-up
Demon,United Kingdom,"NWOBHM, Hard Rock",1979,Active
Destillery,Germany,Heavy Metal,1995,On hold
Desultory,Sweden,"Death Metal, Death 'n' Roll (1996)",1989,Active
Detritus,United Kingdom,Thrash Metal,1989,Split-up
Drecksau,Germany,Sludge/Doom Metal,1996,Split-up
Sabbat,Japan,Black/Thrash Metal,1984,Active
Earthcorpse,Guernsey,Doom/Death Metal,1989,Split-up
Ebonylake,United Kingdom,Avant-garde Gothic/Black Metal,1997,Active
Ebony Tears,Sweden,Melodic Death/Thrash Metal,1996,Split-up
Eminenz,Germany,Black/Death Metal,1989,Active
Exuviate,United States,Death Metal,1993,Changed name
Wind of the Black Mountains,United States,Black Metal,1992,Unknown
Illnath,Denmark,"Symphonic/Melodic Black Metal (early), Melodic Death Metal (later)",2000,Split-up
Demolition,Austria,Thrash Metal,1996,Active
GravewÃ¼rm,United States,Black/Death Metal,1992,Active
Elegy,Netherlands,Progressive Power Metal,1986,On hold
Eldritch,Italy,Progressive/Power Metal,1991,Active
Nunslaughter,United States,Death Metal,1987,Active
Morrigan,Germany,Black Metal,2000,Active
Marshall Law,United Kingdom,Heavy/Power Metal,1987,Split-up
Mayhemic Truth,Germany,Black Metal,1992,Changed name
Anael,Germany,Black Metal,1999,Active
Armoured Angel,Australia,"Speed/Thrash Metal (early), Death Metal (later)",1982,Split-up
Sithlord,Australia,Thrash Metal,1997,On hold
Forced Entry,United States,"Thrash Metal (early), Groove Metal (later)",1986,Split-up
Blaze,United Kingdom,Heavy Metal,1999,Changed name
Rebaelliun,Brazil,Death Metal,1998,Active
Mystifier,Brazil,Black/Death Metal,1989,Active
Freedom Call,Germany,Power Metal,1998,Active
Fates Warning,United States,"Power/Progressive Metal (early), Progressive Metal (later)",1984,Active
Graveyard Rodeo,United States,"Death Metal, Doom Metal, Sludge Metal, Hardcore, Punk",1979,Unknown
Brutal Truth,United States,Grindcore/Death Metal,1990,Split-up
Griffin,United States,Power/Speed Metal,1980,Active
Greyhaven,United States,Progressive Rock/Metal,1996,Split-up
Wongraven,Norway,"Folk, Ambient",1994,Split-up
Hanker,Canada,Heavy Metal,1985,Split-up
Devilyn,Poland,Death Metal,1996,Split-up
Sunn O))),United States,Drone/Doom Metal,1998,Active
Into Eternity,Canada,Progressive/Melodic Death Metal,1997,Active
Skyfire,Sweden,Melodic Death/Progressive/Power Metal,1995,Active
Denata,Sweden,Death/Thrash Metal,1998,Active
Absurd,Russia,Melodic Death Metal,1996,Split-up
Blackstar,United Kingdom,Heavy Metal/Hard Rock,1995,Split-up
Naglfar,Sweden,Melodic Black Metal,1992,Active
Gates of Ishtar,Sweden,Melodic Death Metal,1992,Active
Hypocrite,Sweden,Melodic Death Metal,1989,Split-up
Flotsam and Jetsam,United States,Power/Thrash Metal,1984,Active
Nifelheim,Sweden,Black/Thrash Metal,1990,Active
Depresy,Slovakia,"Death Metal (early), Symphonic Black/Death Metal (later)",1991,Active
Impious,Sweden,Death/Thrash Metal,1994,Active
Saxon,United Kingdom,"NWOBHM, Heavy Metal",1978,Active
In Thy Dreams,Sweden,Melodic Death Metal,1995,Split-up
Holy Knights,Italy,Power Metal,1998,Active
Borknagar,Norway,Progressive Viking/Folk/Black Metal,1995,Active
Thor's Hammer,Poland,Black Metal,1997,Split-up
Merlin,Russia,Death Metal,1992,On hold
Centinex,Sweden,Death Metal,1990,Active
Apocrypha,United States,Power/Thrash Metal,1987,Split-up
Archetype,United States,Power/Progressive Metal,1997,Active
Archie Bunker,United States,Groove Metal,1995,Split-up
Ark,Norway,Progressive Metal,1990,Split-up
Artch,Norway,Heavy/Power Metal,1983,Active
Artension,United States,Progressive Metal,1996,Active
Dislimb,United States,Brutal Death Metal,2001,Split-up
Asphyx,Netherlands,Death/Doom Metal,1987,Active
Assassin,Germany,Thrash Metal,1983,Active
As Serenity Fades,Finland,Death/Doom Metal,1992,Split-up
Atomkraft,United Kingdom,"NWOBHM, Speed Metal",1979,Active
Attacker,United States,Power Metal,1983,Active
Atrocity,Germany,"Technical Death Metal (early), Folk Metal, Gothic/Industrial/Symphonic Metal (later)",1985,Active
Atrophy,United States,Thrash Metal,1986,Active
At War,United States,Speed/Thrash Metal,1983,Active
Avernus,United States,Doom/Death/Gothic Metal,1992,Active
Thorr's Hammer,United States,Doom/Death Metal,1995,Unknown
Balistik Kick,United States,Power Metal,1988,Split-up
BarÃ³n Rojo,Spain,Heavy Metal,1980,Active
Barren Cross,United States,Heavy Metal,1983,Active
Beowulf,United States,Heavy Metal,1976,Split-up
Believer,United States,Progressive/Technical Thrash Metal,1986,Active
Absolute Defiance,Indonesia,Brutal Death Metal,2001,Split-up
Belinus,Ireland,Folk/Black Metal,1995,Active
Betrayal,United States,"Thrash Metal (1988-1994), Industrial Gothic Metal (1999- )",1988,Active
Beyond,United States,Industrial Metal,N/A,Split-up
Bloodcum,Netherlands,Brutal Death Metal,2001,Changed name
The Beyond,United Kingdom,Progressive Metal,1988,Changed name
Bitches Sin,United Kingdom,"Heavy Metal, NWOBHM",1980,Active
Bitter End,United States,Thrash Metal,1985,Active
Black Death,United States,Heavy Metal,1977,Disputed
Black Jester,Italy,Neoclassical/Progressive Metal,1991,Active
The Black League,Finland,Gothic Metal/Rock,1998,Split-up
Sons of Otis,Canada,Stoner/Doom Metal,1992,Active
Dark Funeral,Sweden,Black Metal,1993,Active
Portal,Sweden,Melodic Death Metal,1996,Active
Ghoul,United States,Death/Thrash Metal/Grindcore,2001,Active
Miscreant,Russia,Death Metal,1993,Active
Mortem,Russia,Brutal Death Metal,1989,Split-up
Metalium,Germany,Power/Speed Metal,1998,Split-up
Gardenian,Sweden,Melodic Death Metal,1996,Split-up
Witchhammer,Norway,Speed/Power/Thrash Metal,1986,Active
Guidance of Sin,Sweden,Melodic Death Metal,1994,Split-up
Vicious Rumors,United States,"Heavy/Power Metal, Groove Metal",1979,Active
Ravage,United States,Power/Speed Metal,1995,Active
Black Task,United States,Thrash/Power Metal,1983,Split-up
Blaspheme,France,Heavy Metal,1981,Active
Blessed Death,United States,Speed/Thrash Metal,1984,Split-up
Blind Fury,United Kingdom,NWOBHM,1983,Changed name
Blind Illusion,United States,"Heavy Metal (early), Progressive Thrash Metal (later)",1979,Active
Blitzkrieg,United Kingdom,"Heavy Metal, NWOBHM",1980,Active
Warlock,Germany,Heavy Metal,1983,Split-up
The Blood Divine,United Kingdom,Gothic/Doom Metal,1995,Split-up
Abhorrence,Finland,Death Metal,1989,Unknown
Cerebus,United States,Heavy/Power Metal,1984,Split-up
The Bronx Casket Co.,United States,Atmospheric Gothic Metal,1998,Active
Cacophony,United States,Speed/Shred/Neoclassical Metal,1986,Split-up
Cadaver Inc,Norway,Black/Thrash/Death Metal,1999,Changed name
Calhoun Conquer,Switzerland,Progressive Thrash Metal,1987,Split-up
Watchtower,United States,Progressive/Technical Thrash Metal,1982,Active
Cancer,United Kingdom,Death/Thrash Metal,1987,Active
Oratory,Portugal,Symphonic Power Metal,1994,Split-up
Ivory Tower,Germany,Power/Progressive Metal,1996,Active
Black Symphony,United States,Power/Progressive Metal,1992,Active
Deviser,Greece,Melodic Black Metal,1989,Active
Atom God,United Kingdom,Heavy/Speed Metal,1988,Split-up
Mekong Delta,Germany,Progressive Thrash Metal,1985,Active
Kalmah,Finland,Melodic Death Metal,1998,Active
Shadows Fall,United States,"Melodic Death Metal (early), Metalcore (later)",1995,Active
Nemesis,Sweden,Doom Metal,1982,Changed name
Excel,United States,Thrash Metal/Crossover,1983,Active
Malice,United States,Heavy/Power Metal,1980,Active
Athena,Italy,Progressive/Power Metal,1991,Split-up
Allegiance,Australia,Thrash Metal,1990,On hold
Mortal Sin,Australia,Thrash Metal,1985,Split-up
Misanthrope,France,Progressive/Melodic Death Metal,1988,Active
Misericord,South Africa,Heavy Metal/Rock/Death Metal,1997,Active
Mob Rules,Germany,Melodic Power Metal,1994,Active
Maze of Torment,Sweden,Death/Thrash Metal,1995,Unknown
Mutilator,Brazil,"Death/Thrash Metal (1985-87), Thrash Metal (1988-89)",1985,Split-up
My Darkest Hate,Germany,Death Metal,1998,Active
Belial,Finland,"Black/Death Metal (early), Rock/Punk (later)",1991,Split-up
Thy Serpent,Finland,Melodic Black Metal,1992,Active
Solstice,United Kingdom,Epic Doom Metal,1990,Active
Vulture,Netherlands,Thrash Metal,1983,Split-up
Vital Remains,United States,Death Metal,1988,Active
Vulcain,France,Heavy Metal,1981,Active
Virus,United Kingdom,Thrash Metal,1986,Active
Bloody Gore,Indonesia,Brutal Death Metal,1996,Changed name
Torment,Germany,Thrash Metal,1984,Active
Vexed,Italy,Black/Death/Thrash Metal,1996,Active
Autopsy Torment,Sweden,Death Metal,1989,On hold
Apokalyptic Raids,Brazil,Black/Death/Thrash Metal,1998,Active
Sadis Euphoria,United States,Brutal Death Metal,2000,Split-up
Fleshtized,United States,Brutal Death Metal,1996,Split-up
Amethyst,Netherlands,Melodic Death/Black Metal,1996,Split-up
Unpure,Sweden,"Black Metal (early), Black/Thrash/Speed Metal (later)",1991,Active
Putrilage,United States,Death Metal,1999,Split-up
DoomSword,Italy,Epic Heavy/Doom Metal,1997,Active
Mortuary Drape,Italy,Black/Death Metal,1986,Active
Maple Cross,Finland,Thrash Metal,1985,Active
Vendetta,Germany,Thrash Metal,1984,Active
Morningstar,Finland,"Black Metal (early), Heavy Metal (later)",1989,Split-up
Mabus,Germany,Death Metal,1994,Active
Murder Rape,Brazil,Black Metal,1992,Active
Minotaur,Germany,Thrash Metal,1983,Active
Stormwarrior,Germany,Power/Speed Metal,1998,Active
Midwinter,Germany,Symphonic Black/Heavy Metal,1998,Split-up
Reverend Bizarre,Finland,Doom Metal,1995,Split-up
Xentrix,United Kingdom,Thrash Metal,1988,Active
Brimstone,Sweden,Melodic Death/Power Metal,1996,Active
Silent Force,Germany,Power Metal/Rock,1999,Active
Legend,Jersey,"NWOBHM, Heavy Metal",1980,Active
Wayne,United States,Heavy Metal,2001,Split-up
Steel Warrior,Brazil,Power Metal,1996,Active
Alice in Chains,United States,Heavy Metal/Grunge,1987,Active
Adagio,France,Progressive Symphonic Metal,2000,Active
Domine,Italy,Power Metal,1983,Active
Ostrogoth,Belgium,Heavy/Power Metal,1980,Active
Wargasm,United States,Thrash Metal,1986,Split-up
Meliah Rage,United States,Power/Thrash Metal,1987,Active
Wolf,Sweden,Heavy Metal,1995,Active
Holocaust,United Kingdom,"NWOBHM/Heavy Metal (1977-1984), Progressive Metal (1989-present)",1977,Active
Iron Fire,Denmark,Heavy/Power Metal,1995,Active
Abraxas,Germany,Power Metal,1985,Split-up
Church of Misery,Japan,Doom/Stoner Metal,1995,Active
Count Raven,Sweden,Doom Metal,1989,Active
Dismal Euphony,Norway,"Melodic Black Metal (early), Gothic Metal (later)",1992,Split-up
Tierra Santa,Spain,Power/Heavy Metal,1997,Active
Warhammer,Germany,Doom/Death/Thrash Metal,1994,Active
Crystal Ball,Switzerland,Melodic Power Metal,1998,Active
Dew-Scented,Germany,Thrash/Death Metal,1992,Active
Gorgoroth,Norway,Black Metal,1992,Active
Eidolon,Canada,Power/Thrash/Speed Metal,1993,Active
Ancient,Norway,Melodic Black Metal,1992,Active
Satan,United Kingdom,"NWOBHM, Heavy Metal",1979,Active
